,Start_Date,Transit_time,v_r,Mass,rel_wid,A,rho_g_km3,w_km_s,n_valid,error
64,2001-01-20 22:49:35.840000+00:00,82.17333333333333,2205.0,1.8e+16,1.1519173063162575,180414483738561.12,2.873370459433163e-08,312.03361344537814,,
66,2001-03-16 09:43:13.520000+00:00,79.27944444444445,542.06,1000000000000000.0,0.7853981633974483,89070356774969.36,1.5698644724116604e-08,314.327731092437,,
67,2001-03-25 20:06:25.520000+00:00,68.89277777777778,910.79,3300000000000000.0,1.1519173063162575,180414483738561.12,7.251400580995223e-09,386.7142857142857,,
68,2001-03-28 16:00:40.200000+00:00,60.98861111111111,959.86,3000000000000000.0,1.1519173063162575,180414483738561.12,6.4168844545356224e-09,621.4188034188035,,
69,2001-03-29 13:03:40.240000+00:00,62.93861111111112,1156.1,2800000000000000.0,1.1519173063162575,180414483738561.12,9.403103484630584e-09,483.02521008403363,,
70,2001-04-02 22:50:56.596000+00:00,43.15083333333334,3217.6,9200000000000000.0,1.1519173063162575,180414483738561.12,3.6278794060665016e-09,513.218487394958,,
71,2001-04-06 21:17:29.320000+00:00,40.70833333333333,1723.5,8400000000000000.0,1.1519173063162575,180414483738561.12,9.341807049036026e-09,470.69747899159665,,
72,2001-04-10 06:36:03.240000+00:00,39.39888888888889,2916.5,9100000000000000.0,1.1519173063162575,180414483738561.12,1.8600328177172913e-09,533.965811965812,,
73,2001-04-11 15:52:35.360000+00:00,41.123333333333335,1303.4,5300000000000000.0,1.1519173063162575,180414483738561.12,3.2250659980156837e-08,728.8823529411765,,
75,2001-07-05 10:57:28.400000+00:00,87.04194444444444,701.2,7000000000000000.0,0.7853981633974483,89070356774969.36,1.4637344186025506e-08,434.2436974789916,,
76,2001-09-20 21:28:44.800000+00:00,74.52083333333333,1022.8,1000000000000000.0,1.1519173063162575,180414483738561.12,2.121293709073347e-08,353.73949579831935,,
77,2001-09-27 10:48:46.040000+00:00,48.18694444444444,1143.5,1.8e+16,1.1519173063162575,180414483738561.12,7.372447073571822e-09,458.5126050420168,,
78,2001-09-28 11:08:01.480000+00:00,68.86611111111111,1318.1,2e+16,1.1519173063162575,180414483738561.12,3.5052864695156318e-09,524.7647058823529,,
80,2001-10-09 13:46:50.480000+00:00,62.219166666666666,1222.6,1.2e+16,1.1519173063162575,180414483738561.12,1.4876025042645826e-08,424.7304347826087,,
81,2001-10-19 19:28:29+00:00,48.52527777777778,1100.1,9000000000000000.0,1.1519173063162575,180414483738561.12,1.9338164069835954e-08,328.8974358974359,,
84,2001-11-04 17:51:48.960000+00:00,42.13638888888889,2122.8,1.7e+16,1.1519173063162575,180414483738561.12,1.0875343595645007e-08,325.89915966386553,,
85,2001-11-17 06:49:49.680000+00:00,63.16944444444445,1826.3,1.3e+16,1.1519173063162575,180414483738561.12,7.0921141550540925e-09,414.61344537815125,,
86,2001-11-23 01:02:57.440000+00:00,36.95055555555555,1770.0,1.8e+16,1.1519173063162575,180414483738561.12,8.57532001394384e-09,468.2436974789916,,
87,2001-12-26 06:56:45.920000+00:00,89.05388888888889,1989.6,4800000000000000.0,1.1519173063162575,180414483738561.12,1.1658161070569356e-08,391.0833333333333,,
90,2002-04-15 06:22:55.800000+00:00,57.617777777777775,1156.1,1900000000000000.0,1.1519173063162575,180414483738561.12,3.394854402379428e-08,331.8151260504202,,
92,2002-05-08 16:59:55.400000+00:00,70.00111111111111,951.58,580000000000000.0,1.1519173063162575,180414483738561.12,5.769600603117662e-09,373.6218487394958,,
93,2002-05-16 04:07:46.640000+00:00,101.87027777777776,886.18,4200000000000000.0,0.7853981633974483,89070356774969.36,9.477615272129283e-09,384.89915966386553,,
98,2002-09-17 10:47:35.120000+00:00,57.20666666666666,1243.2,1.4e+16,1.1519173063162575,180414483738561.12,7.3917076400869025e-09,490.218487394958,,
99,2003-05-28 02:31:25.760000+00:00,47.47611111111111,1744.5,1.3e+16,1.1519173063162575,180414483738561.12,1.2163272387532627e-08,677.546218487395,,
100,2003-05-29 02:52:27.960000+00:00,43.12555555555555,1770.5,3900000000000000.0,1.1519173063162575,180414483738561.12,4.7517417832753234e-09,634.4957983193277,,
101,2003-06-14 05:01:34.280000+00:00,76.97361111111111,993.26,4400000000000000.0,1.1519173063162575,180414483738561.12,9.158761187062544e-09,501.6470588235294,,
121,2005-01-17 10:23:55.244000+00:00,36.60111111111111,2882.4,3.2e+16,1.1519173063162575,180414483738561.12,2.1356618237439324e-08,653.8067226890756,,
127,2005-05-27 01:43:20.360000+00:00,98.2775,810.04,1300000000000000.0,0.7853981633974483,89070356774969.36,9.325639410692101e-09,316.97478991596637,,
129,2005-08-05 12:11:29+00:00,83.8086111111111,871.48,2900000000000000.0,0.7853981633974483,89070356774969.36,1.3098184085200814e-08,395.47899159663865,,
130,2005-08-22 03:20:16.080000+00:00,58.66194444444445,1593.9,5300000000000000.0,1.1519173063162575,180414483738561.12,1.0402545288352405e-08,450.3697478991597,,
131,2005-08-31 14:20:55.280000+00:00,51.65111111111111,1621.3,2400000000000000.0,1.1519173063162575,180414483738561.12,4.011488474127825e-08,396.85714285714283,,
132,2005-09-09 20:55:48.320000+00:00,32.069722222222225,2586.4,1.6e+17,1.1519173063162575,180414483738561.12,1.8791304744496066e-08,452.10084033613447,,
133,2006-04-10 13:57:40+00:00,73.03888888888889,319.46,3000000000000000.0,0.5585053606381855,46209367163953.41,3.6368770680076932e-09,634.5294117647059,,
135,2006-08-16 18:23:25.840000+00:00,90.60944444444443,1373.7,1e+16,1.1519173063162575,180414483738561.12,8.301594675849465e-09,303.3613445378151,,
136,2006-08-26 23:16:20.880000+00:00,92.7275,1291.5,7400000000000000.0,1.1519173063162575,180414483738561.12,2.0135187620780046e-08,323.69747899159665,,
137,2006-12-13 04:04:10.600000+00:00,41.930277777777775,2234.5,4700000000000000.0,1.1519173063162575,180414483738561.12,3.2656387965322557e-09,608.2051282051282,,
138,2006-12-15 01:00:50.440000+00:00,46.98583333333333,1194.4,7500000000000000.0,1.1519173063162575,180414483738561.12,3.3566847074242197e-09,763.7899159663865,,
139,2007-11-16 15:44:58+00:00,79.25055555555555,234.24,380000000000000.0,0.5585053606381855,46209367163953.41,5.833289493624507e-09,550.9310344827586,,
143,2010-04-08 19:21:21.400000+00:00,77.6438888888889,164.99,1300000000000000.0,0.5585053606381855,46209367163953.41,3.3701811751968723e-09,580.546218487395,,
146,2011-02-15 05:07:09.440000+00:00,85.88055555555556,1136.6,4300000000000000.0,1.1519173063162575,180414483738561.12,1.5800992902026457e-08,432.3613445378151,,
148,2011-03-25 10:31:57.600000+00:00,108.46722222222222,202.05,110000000000000.0,0.3141592653589793,14883968884841.734,2.379807358304192e-08,436.8487394957983,,
151,2011-06-14 12:12:07.360000+00:00,64.79777777777778,941.28,1.5e+16,1.1519173063162575,180414483738561.12,8.487592965041889e-09,523.2521008403361,,
152,2011-08-02 09:26:39.440000+00:00,67.55555555555556,990.79,5100000000000000.0,1.1519173063162575,180414483738561.12,3.4330241435906467e-09,480.06722689075633,,
153,2011-08-04 05:53:12.800000+00:00,64.11305555555555,1533.4,1.1e+16,1.1519173063162575,180414483738561.12,4.901327628556419e-09,348.99159663865544,,
154,2011-09-07 02:43:56.520000+00:00,72.2675,753.29,1.5e+16,0.7853981633974483,89070356774969.36,7.446537066599902e-09,406.29411764705884,,
156,2011-09-24 14:05:30.280000+00:00,53.90805555555556,2541.4,1.6e+16,1.1519173063162575,180414483738561.12,1.002098882969688e-08,363.65546218487395,,
158,2011-10-22 04:54:11.840000+00:00,65.09666666666666,966.1,1.6e+16,1.1519173063162575,180414483738561.12,1.186171056852621e-08,314.5546218487395,,
160,2011-11-09 16:02:44.480000+00:00,89.95416666666667,1131.0,1.4e+16,1.1519173063162575,180414483738561.12,1.1099581808146309e-08,339.8655462184874,,
161,2011-11-26 10:03:52.440000+00:00,61.93527777777778,1173.8,1.2e+16,1.1519173063162575,180414483738561.12,1.0178025882889243e-08,375.03361344537814,,
163,2012-01-19 17:32:31.160000+00:00,77.45777777777778,1772.3,1.9e+16,1.1519173063162575,180414483738561.12,7.826828239048228e-09,357.9495798319328,,
164,2012-02-24 07:14:15.080000+00:00,83.76222222222222,995.19,6300000000000000.0,1.1519173063162575,180414483738561.12,8.469980739629268e-09,441.0416666666667,,
165,2012-03-07 01:16:10.296000+00:00,49.73027777777778,3567.4,1.4e+16,1.1519173063162575,180414483738561.12,1.6833051094952753e-08,382.89915966386553,,
166,2012-03-13 18:56:12.440000+00:00,46.06305555555555,2283.1,2.3e+16,1.1519173063162575,180414483738561.12,1.259108235746622e-09,586.09243697479,,
168,2012-06-14 16:40:10.360000+00:00,54.33027777777778,1179.4,1.2e+16,1.1519173063162575,180414483738561.12,7.558445302430321e-09,354.5378151260504,,
169,2012-07-02 10:39:26.680000+00:00,61.3425,1350.5,6000000000000000.0,1.1519173063162575,180414483738561.12,6.1795559118495265e-09,599.90756302521,,
171,2012-07-12 18:59:30.440000+00:00,59.00805555555556,1379.7,6900000000000000.0,1.1519173063162575,180414483738561.12,6.494916935700637e-09,386.0,,
172,2012-09-28 02:45:48.200000+00:00,69.23638888888888,999.16,9200000000000000.0,1.1519173063162575,180414483738561.12,5.849595289693159e-09,375.15966386554624,,
173,2012-10-05 07:22:19.520000+00:00,82.62777777777778,1066.9,1e+16,1.1519173063162575,180414483738561.12,1.4416970266774168e-08,332.64957264957263,,
174,2012-10-27 23:58:50.120000+00:00,96.01916666666666,605.03,4900000000000000.0,0.7853981633974483,89070356774969.36,7.597950585687862e-09,350.30252100840335,,
175,2012-11-09 19:29:33.800000+00:00,84.50722222222223,822.42,5000000000000000.0,0.7853981633974483,89070356774969.36,7.2118952876820275e-09,356.9075630252101,,
176,2012-11-20 15:38:22.720000+00:00,92.36027777777778,986.34,8400000000000000.0,1.1519173063162575,180414483738561.12,9.55268944890359e-09,402.02521008403363,,
177,2012-11-23 17:19:00.720000+00:00,66.68305555555555,912.76,6900000000000000.0,1.1519173063162575,180414483738561.12,1.468373822590884e-08,315.5378151260504,,
178,2013-01-13 22:37:25.200000+00:00,89.37611111111111,391.87,320000000000000.0,0.5585053606381855,46209367163953.41,8.922151164671954e-09,507.30252100840335,,
179,2013-03-15 09:23:02.720000+00:00,53.615833333333335,1402.0,1.3e+16,1.1519173063162575,180414483738561.12,1.3966878877695869e-08,472.2436974789916,,
180,2013-04-11 09:26:44.760000+00:00,79.55416666666666,1336.7,2.2e+16,1.1519173063162575,180414483738561.12,1.0770605282587164e-08,403.4621848739496,,
181,2013-06-24 09:05:47+00:00,88.9036111111111,291.45,390000000000000.0,0.5585053606381855,46209367163953.41,4.6332259016597975e-09,500.52941176470586,,
182,2013-07-09 20:30:55.800000+00:00,80.48444444444445,600.4,3400000000000000.0,0.7853981633974483,89070356774969.36,1.4460905894419726e-08,410.3529411764706,,
183,2013-09-30 00:31:59.840000+00:00,70.46666666666667,1382.7,2.2e+16,1.1519173063162575,180414483738561.12,1.2052471248432992e-08,304.61607142857144,,
185,2013-12-12 05:50:26.480000+00:00,82.15916666666666,1290.5,1.4e+16,1.1519173063162575,180414483738561.12,1.0643372950427671e-08,318.1512605042017,,
186,2014-02-04 03:53:12.280000+00:00,93.11305555555556,956.41,6900000000000000.0,1.1519173063162575,180414483738561.12,1.4133475801103255e-08,366.9495798319328,,
188,2014-04-02 15:23:06.200000+00:00,78.61472222222223,1815.7,1.4e+16,1.1519173063162575,180414483738561.12,2.997762944796506e-09,435.87394957983196,,
189,2014-04-18 15:14:01.800000+00:00,63.76611111111112,1494.6,2e+16,1.1519173063162575,180414483738561.12,1.0149627032812903e-08,468.6218487394958,,
190,2014-08-15 23:25:00.280000+00:00,88.58305555555556,544.82,2300000000000000.0,0.7853981633974483,89070356774969.36,1.0233136512419756e-08,337.10084033613447,,
191,2014-09-10 19:41:36.560000+00:00,50.30638888888889,1543.8,2.1e+16,1.1519173063162575,180414483738561.12,1.4110841187196618e-08,377.4957983193277,,
196,2015-06-21 04:15:35.960000+00:00,45.74,1810.4,9600000000000000.0,1.1519173063162575,180414483738561.12,1.3329592414884007e-08,308.4117647058824,,
198,2015-08-12 19:38:27.920000+00:00,73.35888888888888,783.18,7700000000000000.0,0.7853981633974483,89070356774969.36,1.1768922344628503e-08,384.3109243697479,,
200,2015-09-18 08:04:42.120000+00:00,71.92138888888888,1247.9,7800000000000000.0,1.1519173063162575,180414483738561.12,1.4568174645816577e-08,390.3193277310924,,
201,2015-11-04 17:54:55.480000+00:00,60.08444444444444,948.3,6600000000000000.0,1.1519173063162575,180414483738561.12,1.148999528701165e-08,574.9663865546219,,
203,2015-12-28 14:25:11.960000+00:00,74.58,1520.5,1.9e+16,1.1519173063162575,180414483738561.12,5.712802933131947e-09,438.218487394958,,
205,2016-04-10 16:02:12.440000+00:00,88.96305555555556,685.6,4600000000000000.0,0.7853981633974483,89070356774969.36,1.2066125898978289e-08,361.02521008403363,,
208,2016-11-05 12:45:10.040000+00:00,107.24694444444444,560.15,590000000000000.0,0.2879793265790644,12523133591952.62,1.605770706311394e-08,353.7226890756302,,
