,Start_Date,Transit_time,v_r,Mass,rel_wid,A,w,rho,n_pts,gamma,a
119,2012-02-24 07:14:15.080,301544.0,995.19,6300000000000000.0,1.1519173063162575,180414483738561.12,439.6666666666667,5.066666682561238,12,2.426863095241313e-08,-0.002400933673107445
123,2012-06-14 16:40:10.360,195589.0,1179.4,1.2e+16,1.1519173063162575,180414483738561.12,353.25,4.513333320617676,12,1.134957645381625e-08,-0.002152585921674905
124,2012-07-02 10:39:26.680,220833.0,1350.5,6000000000000000.0,1.1519173063162575,180414483738561.12,602.0833333333334,3.6366666356722512,12,1.8290085436435818e-08,-0.0048375043274390735
126,2012-07-12 18:59:30.440,212429.0,1379.7,6900000000000000.0,1.1519173063162575,180414483738561.12,384.8181818181818,3.885454546321522,11,1.699245914413119e-08,-0.002872903661179311
127,2012-09-28 02:45:48.200,249250.99999999997,999.16,9200000000000000.0,1.1519173063162575,180414483738561.12,374.5833333333333,3.54666668176651,12,1.1633115502179465e-08,-0.002287724075218056
128,2012-10-05 07:22:19.520,297460.0,1066.9,1e+16,1.1519173063162575,180414483738561.12,332.4166666666667,8.618333458900452,12,2.6006792110684216e-08,-0.001557678004074571
129,2012-10-27 23:58:50.120,345669.0,605.03,4900000000000000.0,0.7853981633974483,89070356774969.36,349.0769230769231,4.536923041710486,13,1.3794012552582363e-08,-0.000975108766046737
130,2012-11-09 19:29:33.800,304226.0,822.42,5000000000000000.0,0.7853981633974483,89070356774969.36,356.5,4.29833338658015,12,1.2807234961157821e-08,-0.001722185585932592
131,2012-11-20 15:38:22.720,332497.0,986.34,8400000000000000.0,1.1519173063162575,180414483738561.12,400.6666666666667,5.817499955495198,12,2.0898763674082436e-08,-0.00233070736742072
134,2013-03-15 09:23:02.720,193017.0,1402.0,1.3e+16,1.1519173063162575,180414483738561.12,471.5833333333333,8.354166706403097,12,1.9392030134857693e-08,-0.003139938473648277
135,2013-04-11 09:26:44.760,286395.0,1336.7,2.2e+16,1.1519173063162575,180414483738561.12,403.25,6.421666622161865,12,8.8082283933175e-09,-0.0043807339533570465
137,2013-07-09 20:30:55.800,289744.0,600.4,3400000000000000.0,0.7853981633974483,89070356774969.36,410.4166666666667,8.559999903043112,12,3.750767351721699e-08,-0.000500024418196887
138,2013-09-30 00:31:59.840,253680.0,1382.7,2.2e+16,1.1519173063162575,180414483738561.12,303.0,7.498181733218106,11,1.028482185806026e-08,-0.0036856574276119417
140,2013-12-12 05:50:26.480,295773.0,1290.5,1.4e+16,1.1519173063162575,180414483738561.12,317.3333333333333,6.585000038146973,12,1.4193556748829546e-08,-0.0029131345130431557
141,2014-02-04 03:53:12.280,335207.0,956.41,6900000000000000.0,1.1519173063162575,180414483738561.12,366.5,8.401666601498922,12,3.6743442695460665e-08,-0.0015199440352851887
145,2014-08-15 23:25:00.280,318899.0,544.82,2300000000000000.0,0.7853981633974483,89070356774969.36,337.5833333333333,6.205833355585734,12,4.019736244088615e-08,-0.0001546894490827694
146,2014-09-10 19:41:36.560,181103.0,1543.8,2.1e+16,1.1519173063162575,180414483738561.12,377.25,8.390833377838135,12,1.2057278565264052e-08,-0.003938924537758134
148,2014-12-17 08:23:00.200,416218.99999999994,800.78,1.2e+16,0.7853981633974483,89070356774969.36,395.5,5.339999914169312,2,6.629568897452572e-09,-0.0021460903411169028
153,2015-08-12 19:38:27.920,264092.0,783.18,7700000000000000.0,0.7853981633974483,89070356774969.36,384.0833333333333,7.045833309491475,12,1.3632230589823693e-08,-0.0013121745782955442
155,2015-09-18 08:04:42.120,258916.99999999997,1247.9,7800000000000000.0,1.1519173063162575,180414483738561.12,389.5833333333333,8.71999994913737,12,3.373536179258168e-08,-0.001706726152599964
156,2015-11-04 17:54:55.480,216304.0,948.3,6600000000000000.0,1.1519173063162575,180414483738561.12,575.4166666666666,6.815000017484029,12,3.115913681312299e-08,-0.001958532040243748
157,2015-12-16 12:04:07.000,312953.0,1079.9,2300000000000000.0,1.1519173063162575,180414483738561.12,493.75,1.9358333349227903,12,2.5398239867197808e-08,-0.0032118744671734696
160,2016-04-10 16:02:12.440,320267.0,685.6,4600000000000000.0,0.7853981633974483,89070356774969.36,363.0,7.045454545454546,11,2.281794190215527e-08,-0.0010337334424305948
163,2016-11-05 12:45:10.040,386089.0,560.15,590000000000000.0,0.2879793265790644,12523133591952.62,354.3333333333333,9.65749994913737,12,3.428607800116953e-08,-0.0008319077034964279
